公司名稱,序號,官方網站,產業,員工人數,email,聯絡人名稱,來源,說明,,Scenarios,day1_title,day1_content,day7_title,day7_content,day14_title,day14_content,day30_title,day30_content,day60_title,day60_content
伸泰國際股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/5uodvfc,,,大企業_企業內部系統,,,,,,,,,,
航合有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bi6ix,,,大企業_企業內部系統,,,,,,,,,,
中美嘉吉股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/9f9z2yg,,,大企業_企業內部系統,,,,,,,,,,
浚利鋼鐵材料股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6biv0d,,,大企業_企業內部系統,,,,,,,,,,
西螺大同醬油股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/ataz81c,,,大企業_企業內部系統,,,,,,,,,,
宏洋精密工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/odchwhk?jobsource=m_cs_similar,,,大企業_企業內部系統,,,,,,,,,,
炬洋股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bm21e?jobsource=m_cs_similar,,,大企業_企業內部系統,,,,,,,,,,
益芳封口機有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/csvzypk,,,大企業_企業內部系統,,,,,,,,,,
18度C巧克力工房_茆師父洋菓子工房有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/bitv0q0,,,大企業_企業內部系統,,,,,,,,,,
台宜陶瓷有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/d1ipg6g,,,大企業_企業內部系統,,,,,,,,,,
老行家國際燕窩股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/7prcuo0,,,大企業_企業內部系統,,,,,,,,,,
Sports Art_力伽實業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/w32ibbs,,,大企業_企業內部系統,,,,,,,,,,
永豐盛企業有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/1a2x6bkmij,,,大企業_企業內部系統,,,,,,,,,,
獻麒紡織工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/abop168,,,大企業_企業內部系統,,,,,,,,,,
頂吉興科技股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/ckpi1q8,,,大企業_企業內部系統,,,,,,,,,,
侯門行股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/12vhwmm8,,,大企業_企業內部系統,,,,,,,,,,
兆點科技股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/d41z77s,,,大企業_企業內部系統,,,,,,,,,,
泰茂實業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/13jfytbs,,,大企業_企業內部系統,,,,,,,,,,
陸弘股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/13y1pt8o,,,大企業_企業內部系統,,,,,,,,,,
巨孚儀器工業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/fvjp3e8,,,大企業_企業內部系統,,,,,,,,,,
凱鍶鎂股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/ael8yps,,,大企業_企業內部系統,,,,,,,,,,
宏偉冷凍食品股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/623j76w,,,大企業_企業內部系統,,,,,,,,,,
中陽實業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/ngsxnkw,,,大企業_企業內部系統,,,,,,,,,,
永豐餘集團關係企業_品冠紙業股份有限公司,,,一般製造業,100-249人,,官方,https://www.104.com.tw/company/9n9cafc,,,大企業_企業內部系統,,,,,,,,,,
